overall_accuracy_t1,balanced_accuracy_t1,fake_accuracy_t1,real_accuracy_t1,true_positive_rate_t1,false_positive_rate_t1,true_negative_rate_t1,false_negative_rate_t1,real_sharing_rate_t1,fake_sharing_rate_t1,share_given_judged_real_t1,share_given_judged_fake_t1,share_on_TN_t1,share_on_FP_t1,share_on_FN_t1,share_on_TP_t1,intervention_group,id,attrition,overall_accuracy_t2,balanced_accuracy_t2,fake_accuracy_t2,real_accuracy_t2,true_positive_rate_t2,false_positive_rate_t2,true_negative_rate_t2,false_negative_rate_t2,real_sharing_rate_t2,fake_sharing_rate_t2,share_given_judged_real_t2,share_given_judged_fake_t2,share_on_TN_t2,share_on_FP_t2,share_on_FN_t2,share_on_TP_t2
66.66666666666666,70.0,60.0,80.0,80.0,40.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0026,0,73.33333333333333,75.0,70.0,80.0,80.0,30.0,70.0,20.0,0.0,30.0,0.0,37.5,42.857142857142854,0.0,0.0,0.0
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,60.0,10.0,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,60.0,intervention_2,G1_P0028,0,46.666666666666664,55.00000000000001,30.0,80.0,80.0,70.0,30.0,20.0,0.0,30.0,18.181818181818183,25.0,33.33333333333333,28.57142857142857,0.0,0.0
35.714285714285715,41.11111111111111,22.22222222222222,60.0,60.0,77.77777777777779,22.22222222222222,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0029,0,60.0,70.0,40.0,100.0,100.0,60.0,40.0,0.0,0.0,30.0,9.090909090909092,50.0,50.0,16.666666666666664,0.0,0.0
46.666666666666664,55.00000000000001,30.0,80.0,80.0,70.0,30.0,20.0,0.0,20.0,18.181818181818183,0.0,0.0,28.57142857142857,0.0,0.0,intervention_3,G1_P0030,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,100.0,20.0,87.5,0.0,0.0,66.66666666666666,0.0,100.0
40.0,35.0,50.0,20.0,20.0,50.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0031,0,80.0,75.0,90.0,60.0,60.0,10.0,90.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.333333333333336,50.0,60.0,40.0,40.0,40.0,60.0,60.0,40.0,40.0,100.0,0.0,0.0,100.0,0.0,100.0,intervention_3,G1_P0032,0,50.0,54.28571428571429,28.57142857142857,80.0,80.0,71.42857142857143,28.57142857142857,20.0,40.0,42.857142857142854,55.55555555555556,0.0,0.0,60.0,0.0,50.0
80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0033,0,93.33333333333333,95.0,90.0,100.0,100.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_3,G1_P0034,0,80.0,80.0,80.0,80.0,80.0,20.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.666666666666664,55.00000000000001,30.0,80.0,80.0,70.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0036,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.33333333333333,65.0,90.0,40.0,40.0,10.0,90.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0037,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,65.0,50.0,80.0,80.0,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0038,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.66666666666666,70.0,60.0,80.0,80.0,40.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0039,0,93.33333333333333,95.0,90.0,100.0,100.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_3,G1_P0041,0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.81818181818183,85.71428571428572,71.42857142857143,100.0,100.0,28.57142857142857,71.42857142857143,0.0,100.0,28.57142857142857,100.0,0.0,0.0,100.0,0.0,100.0,intervention_4,G1_P0043,0,73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,20.0,70.0,44.44444444444444,66.66666666666666,66.66666666666666,75.0,0.0,20.0
40.0,44.99999999999999,30.0,60.0,60.0,70.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0044,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.66666666666666,75.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0045,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,20.0,10.0,22.22222222222222,0.0,0.0,25.0,0.0,20.0,intervention_3,G1_P0046,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,40.0,0.0,25.0,0.0,0.0,0.0,0.0,40.0
60.0,70.0,40.0,100.0,100.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0047,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,20.0,20.0,37.5,0.0,0.0,66.66666666666666,0.0,20.0
73.33333333333333,70.0,80.0,60.0,60.0,20.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0048,0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.333333333333336,65.0,30.0,100.0,100.0,70.0,30.0,0.0,80.0,80.0,91.66666666666666,33.33333333333333,33.33333333333333,100.0,0.0,80.0,intervention_5,G1_P0049,0,61.53846153846154,72.22222222222221,44.44444444444444,100.0,100.0,55.55555555555556,44.44444444444444,0.0,100.0,66.66666666666666,88.88888888888889,50.0,50.0,80.0,0.0,100.0
46.666666666666664,60.0,20.0,100.0,100.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0050,0,60.0,70.0,40.0,100.0,100.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,20.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,20.0,intervention_3,G1_P0051,0,73.33333333333333,75.0,70.0,80.0,80.0,30.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control,G1_P0052,0,93.33333333333333,95.0,90.0,100.0,100.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
