session_id,condition,session_started,page,entered_at,duration_ms,click_count
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,control,2026-06-30T20:20:03.562Z,873,2
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,control-task-img-1,2026-06-30T20:20:04.435Z,2668,8
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,control-task-img-2,2026-06-30T20:20:07.104Z,1610,4
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,control-task-img-3,2026-06-30T20:20:08.714Z,1591,4
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,control-task-img-4,2026-06-30T20:20:10.305Z,1043,1
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3,2026-06-30T20:20:11.349Z,0,0
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-tip-1,2026-06-30T20:20:11.349Z,1153,1
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-tip-2,2026-06-30T20:20:12.503Z,191,1
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-tip-3,2026-06-30T20:20:12.695Z,687,3
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-tip-4,2026-06-30T20:20:13.382Z,156,1
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-tip-5,2026-06-30T20:20:13.538Z,776,1
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-task-img-1,2026-06-30T20:20:14.314Z,3345,7
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-task-img-2,2026-06-30T20:20:17.659Z,3338,9
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-task-img-3,2026-06-30T20:20:20.997Z,2131,5
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int3-task-img-4,2026-06-30T20:20:23.128Z,2167,1
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int5,2026-06-30T20:20:25.295Z,0,0
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int5-train-1,2026-06-30T20:20:25.296Z,0,0
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int5-train-1,2026-06-30T20:20:25.296Z,4542,2
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int5-train-2,2026-06-30T20:20:29.838Z,2376,2
c647305d-5bca-4b3a-b99e-17e24a5ba44e,demo,2026-06-30T13:20:01.466726,int5-train-4,2026-06-30T20:20:34.634Z,1682,3
