session_id,page,event_type,element_type,element_label,x_pct,y_pct,time_on_page_ms,ts
6929e65f-0f3d-4b32-9998-73c15dfcfed0,control-task-img-1,mouseenter,scale-btn,Probably fake,,,1200,2026-06-30T10:00:01Z
6929e65f-0f3d-4b32-9998-73c15dfcfed0,control-task-img-1,click,scale-btn,Probably fake,0.45,0.62,3200,2026-06-30T10:00:03Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mousemove,document,,0.45,0.02,7119,2026-06-30T19:52:13.486Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mouseenter,nav-btn,1 · Knowledge,,,7129,2026-06-30T19:52:13.496Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mouseleave,nav-btn,1 · Knowledge,,,7132,2026-06-30T19:52:13.499Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mousemove,document,,0.27,0.78,7620,2026-06-30T19:52:13.987Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,click,div,Control baseline,0.26,0.75,7998,2026-06-30T19:52:14.365Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mousemove,document,,0.28,0.66,8120,2026-06-30T19:52:14.487Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,click,p,"N = 1,200 U.S. participants, randomly assigned to one of six",0.4,0.46,8465,2026-06-30T19:52:14.832Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mousemove,document,,0.4,0.46,9353,2026-06-30T19:52:15.720Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,mousemove,document,,0.6,0.36,9989,2026-06-30T19:52:16.356Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,overview,click,div,"🔵
      Control
      No training — proceed directly to the",0.27,0.49,10493,2026-06-30T19:52:16.860Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mousemove,document,,0.27,0.49,78,2026-06-30T19:52:16.938Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseenter,btn,▶ Start Detection Task (demo: 5 images),,,362,2026-06-30T19:52:17.222Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mousemove,document,,0.34,0.57,578,2026-06-30T19:52:17.438Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseleave,btn,▶ Start Detection Task (demo: 5 images),,,745,2026-06-30T19:52:17.605Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mousemove,document,,0.52,0.55,1078,2026-06-30T19:52:17.938Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,click,div,"Condition: Control
    No Intervention
    Participants in t",0.52,0.55,1120,2026-06-30T19:52:17.980Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseenter,nav-btn,1 · Knowledge,,,1445,2026-06-30T19:52:18.305Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseleave,nav-btn,1 · Knowledge,,,1462,2026-06-30T19:52:18.322Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseenter,nav-btn,1 · Knowledge,,,5731,2026-06-30T19:52:22.591Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mousemove,document,,0.4,0.03,5731,2026-06-30T19:52:22.591Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseleave,nav-btn,1 · Knowledge,,,5743,2026-06-30T19:52:22.603Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseenter,btn,▶ Start Detection Task (demo: 5 images),,,6030,2026-06-30T19:52:22.890Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseleave,btn,▶ Start Detection Task (demo: 5 images),,,6061,2026-06-30T19:52:22.921Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mousemove,document,,0.25,0.63,6248,2026-06-30T19:52:23.108Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,mouseenter,btn,▶ Start Detection Task (demo: 5 images),,,6296,2026-06-30T19:52:23.156Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control,click,btn,▶ Start Detection Task (demo: 5 images),0.24,0.57,7258,2026-06-30T19:52:24.118Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseleave,btn,▶ Start Detection Task (demo: 5 images),,,7,2026-06-30T19:52:24.125Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mousemove,document,,0.28,0.61,885,2026-06-30T19:52:25.003Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseenter,scale-btn,Definitely real,,,1002,2026-06-30T19:52:25.120Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseleave,scale-btn,Definitely real,,,1024,2026-06-30T19:52:25.142Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseenter,scale-btn,Definitely real,,,1269,2026-06-30T19:52:25.387Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mousemove,document,,0.29,0.51,1419,2026-06-30T19:52:25.537Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,click,scale-btn,Definitely real,0.29,0.51,1700,2026-06-30T19:52:25.818Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseleave,scale-btn,Definitely real,,,1885,2026-06-30T19:52:26.003Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mousemove,document,,0.29,0.57,1919,2026-06-30T19:52:26.037Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseenter,share-btn,Yes,,,2019,2026-06-30T19:52:26.137Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,click,share-btn,Yes,0.31,0.69,2762,2026-06-30T19:52:26.880Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseleave,share-btn,Yes,,,3122,2026-06-30T19:52:27.240Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mousemove,document,,0.31,0.69,3122,2026-06-30T19:52:27.240Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseenter,next-btn,Next,,,3269,2026-06-30T19:52:27.387Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseleave,next-btn,Next,,,3585,2026-06-30T19:52:27.703Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mousemove,document,,0.22,0.74,3635,2026-06-30T19:52:27.753Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,click,label,"I have seen this image before, or it failed to load",0.22,0.72,3889,2026-06-30T19:52:28.007Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,click,checkbox,seen-cb-0,0.22,0.72,3889,2026-06-30T19:52:28.007Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,change,checkbox,seen-cb-0:true,,,3889,2026-06-30T19:52:28.007Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mouseenter,next-btn,Next,,,4072,2026-06-30T19:52:28.190Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,mousemove,document,,0.24,0.77,4137,2026-06-30T19:52:28.255Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-1,click,next-btn,Next,0.25,0.78,4286,2026-06-30T19:52:28.404Z
2bf51caa-5459-4a0f-bfe2-0e41ff09bc96,control-task-img-2,mouseenter,share-btn,Yes,,,316,2026-06-30T19:52:28.721Z
