session_id,page,image_label,is_real,detection_choice,detection_choice_idx,is_correct,share_choice,seen_before,reaction_time_ms,total_time_ms,attempts
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-1,K1,1,Definitely fake,3,0,Yes,0,2222,3594,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-2,K2,0,Definitely fake,3,1,Yes,0,1578,3644,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-3,K3,0,Probably fake,2,1,Yes,0,1214,5740,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-4,K4,1,Definitely fake,3,0,Yes,0,1913,3422,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-5,K5,0,Definitely fake,3,1,Yes,0,1315,2635,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-6,K6,0,Definitely fake,3,1,No,0,1091,2614,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-7,K7,1,Probably real,1,1,Yes,0,703,2481,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-8,K8,0,Probably real,1,0,Yes,0,1400,2674,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-9,K9,0,Probably real,1,0,No,0,763,2463,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-10,K10,1,Definitely fake,3,0,Yes,0,1150,3493,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-11,K11,0,Definitely fake,3,1,Yes,0,1049,2547,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-12,K12,0,Definitely fake,3,1,Yes,0,1377,3818,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-13,K13,0,Probably fake,2,1,Yes,0,1611,3099,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-14,K14,0,Definitely fake,3,1,Yes,0,1088,2479,
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,int1-task-img-15,K15,1,Definitely fake,3,0,Yes,0,1588,3092,
