StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,UserLanguage,Consent,consent_timer_First Click,consent_timer_Last Click,consent_timer_Page Submit,consent_timer_Click Count,meta_info_Browser,meta_info_Version,meta_info_Operating System,meta_info_Resolution,prolific_id_timer_First Click,prolific_id_timer_Last Click,prolific_id_timer_Page Submit,prolific_id_timer_Click Count,welcome_instr_timer_First Click,welcome_instr_timer_Last Click,welcome_instr_timer_Page Submit,welcome_instr_timer_Click Count,Attention check 1,attention_1_timer_First Click,attention_1_timer_Last Click,attention_1_timer_Page Submit,attention_1_timer_Click Count,detection_intro_time_First Click,detection_intro_time_Last Click,detection_intro_time_Page Submit,detection_intro_time_Click Count,3_task_real_or_fake,3_task_sharing,3_task_seen_before,3_task_timer_First Click,3_task_timer_Last Click,3_task_timer_Page Submit,3_task_timer_Click Count,4_task_real_or_fake,4_task_sharing,4_task_seen_before,4_task_timer_First Click,4_task_timer_Last Click,4_task_timer_Page Submit,4_task_timer_Click Count,5_task_real_or_fake,5_task_sharing,5_task_seen_before,5_task_timer_First Click,5_task_timer_Last Click,5_task_timer_Page Submit,5_task_timer_Click Count,6_task_real_or_fake,6_task_sharing,6_task_seen_before,6_task_timer_First Click,6_task_timer_Last Click,6_task_timer_Page Submit,6_task_timer_Click Count,7_task_real_or_fake,7_task_sharing,7_task_seen_before,7_task_timer_First Click,7_task_timer_Last Click,7_task_timer_Page Submit,7_task_timer_Click Count,8_task_real_or_fake,8_task_sharing,8_task_seen_before,8_task_timer_First Click,8_task_timer_Last Click,8_task_timer_Page Submit,8_task_timer_Click Count,9_task_real_or_fake,9_task_sharing,9_task_seen_before,9_task_timer_First Click,9_task_timer_Last Click,9_task_timer_Page Submit,9_task_timer_Click Count,10_task_real_or_fake,10_task_sharing,10_task_seen_before,10_task_timer_First Click,10_task_timer_Last Click,10_task_timer_Page Submit,10_task_timer_Click Count,11_task_real_or_fake,11_task_sharing,11_task_seen_before,11_task_timer_First Click,11_task_timer_Last Click,11_task_timer_Page Submit,11_task_timer_Click Count,12_task_real_or_fake,12_task_sharing,12_task_seen_before,12_task_timer_First Click,12_task_timer_Last Click,12_task_timer_Page Submit,12_task_timer_Click Count,13_task_real_or_fake,13_task_sharing,13_task_seen_before,13_task_timer_First Click,13_task_timer_Last Click,13_task_timer_Page Submit,13_task_timer_Click Count,14_task_real_or_fake,14_task_sharing,14_task_seen_before,14_task_timer_First Click,14_task_timer_Last Click,14_task_timer_Page Submit,14_task_timer_Click Count,15_task_real_or_fake,15_task_sharing,15_task_seen_before,15_task_timer_First Click,15_task_timer_Last Click,15_task_timer_Page Submit,15_task_timer_Click Count,16_task_real_or_fake,16_task_sharing,16_task_seen_before,16_task_timer_First Click,16_task_timer_Last Click,16_task_timer_Page Submit,16_task_timer_Click Count,17_task_real_or_fake,17_task_sharing,17_task_seen_before,17_task_timer_First Click,17_task_timer_Last Click,17_task_timer_Page Submit,17_task_timer_Click Count,slider_confidence_1,confidence_timer_First Click,confidence_timer_Last Click,confidence_timer_Page Submit,confidence_timer_Click Count,Experience deepfakes_1,Experience_detecting_1,Search_engine_1,reverse_image_search_1,genAI_1,media_literacy_timer_First Click,media_literacy_timer_Last Click,media_literacy_timer_Page Submit,media_literacy_timer_Click Count,Attention check 2,attention_2_timer_First Click,attention_2_timer_Last Click,attention_2_timer_Page Submit,attention_2_timer_Click Count,Honesty check 1,Honesty check 2,honesty_timer_First Click,honesty_timer_Last Click,honesty_timer_Page Submit,honesty_timer_Click Count,debrief_timer_First Click,debrief_timer_Last Click,debrief_timer_Page Submit,debrief_timer_Click Count,thank_you_timer_First Click,thank_you_timer_Last Click,thank_you_timer_Page Submit,thank_you_timer_Click Count,mobile,attention_1_failed,attention_2_failed,honesty_1_failed,honesty_2_failed,id
2025-04-01 10:02:52,2025-04-01 10:07:22,100,270,True,2025-04-01 10:07:23,,EN,I consent to participate.,1.325,4.823,5.778,4,Chrome,134.0.0.0,Windows NT 10.0,1536x864,0,0,1.601,0,0,0,4.333,0,"Recycling,Composting",1.757,22.937,23.687,8,0,0,14.552,0,Probably real,Yes,"No, everything was in order and the image was new to me.",0.025,23.54,24.443,11,Probably fake,No,"No, everything was in order and the image was new to me.",2.594,5.73,6.457,6,Probably fake,Yes,"No, everything was in order and the image was new to me.",1.35,5.324,6.065,7,Probably real,Yes,"No, everything was in order and the image was new to me.",1.207,6.532,7.307,8,Probably real,Yes,"No, everything was in order and the image was new to me.",1.298,4.955,5.768,7,Definitely fake,Yes,"No, everything was in order and the image was new to me.",1.078,4.851,5.692,9,Probably fake,Yes,"No, everything was in order and the image was new to me.",1.826,6.501,7.667,8,Probably fake,No,"No, everything was in order and the image was new to me.",1.114,7.282,7.859,8,Probably fake,No,"No, everything was in order and the image was new to me.",1.553,6.565,7.324,6,Probably real,Yes,"No, everything was in order and the image was new to me.",1.87,9.093,9.763,9,Definitely fake,No,"No, everything was in order and the image was new to me.",1.431,5.867,8.606,6,Probably real,Yes,"No, everything was in order and the image was new to me.",1.273,8.187,9.088,6,Probably real,Yes,"No, everything was in order and the image was new to me.",0.233,7.912,8.875,9,Probably fake,Yes,"No, everything was in order and the image was new to me.",1.154,6.001,6.842,8,Definitely fake,No,"No, everything was in order and the image was new to me.",1.563,7.912,8.803,9,78,5.266,5.266,6.039,1,4,4,4,4,3,2.682,12.291,14.721,9,I prefer audiobooks,11.127,11.708,12.771,2,No,No,5.359,6.974,9.17,2,0.354,13.277,14.269,10,0,0,1.47,0,0,1,0,0,0,G1_P0402
2025-04-01 10:04:00,2025-04-01 10:08:26,100,266,True,2025-04-01 10:08:27,,EN,I consent to participate.,1.861,4.786,5.532,3,Safari iPhone,18.3.1,iPhone,430x932,0,0,1.268,0,0,0,1.624,0,"Recycling,Composting",5.865,9.466,10.164,5,3.087,3.087,6.393,1,Probably real,No,"No, everything was in order and the image was new to me.",3.104,10.326,12.125,9,Probably real,No,"No, everything was in order and the image was new to me.",4.996,8.435,9.366,5,Definitely real,No,"No, everything was in order and the image was new to me.",2.069,15.143,16.225,8,Definitely real,No,"No, everything was in order and the image was new to me.",2.439,9.382,10.13,7,Definitely real,No,"No, everything was in order and the image was new to me.",2.381,5.987,7.018,5,Definitely fake,No,"No, everything was in order and the image was new to me.",1.562,8.216,10.616,6,Probably real,Don't know,"No, everything was in order and the image was new to me.",4.745,8.952,9.917,6,Probably fake,No,"No, everything was in order and the image was new to me.",2.804,7.363,8.462,7,Definitely real,Don't know,"No, everything was in order and the image was new to me.",0.388,9.207,9.989,9,Definitely real,Don't know,"No, everything was in order and the image was new to me.",1.496,7.281,8.146,9,Probably fake,No,"No, everything was in order and the image was new to me.",2.914,8.983,9.843,8,Probably fake,Don't know,"No, everything was in order and the image was new to me.",4.378,10.523,11.735,8,Definitely fake,No,"No, everything was in order and the image was new to me.",3.011,8.508,11.44,6,Definitely fake,No,"No, everything was in order and the image was new to me.",2.572,6.71,7.556,7,Definitely fake,No,"No, everything was in order and the image was new to me.",2.403,6.361,7.425,7,43,2.516,2.516,5.025,1,2,2,6,6,0,2.144,18.632,19.43,12,I prefer audiobooks,5.478,9.746,11.036,3,No,No,1.748,3.56,4.457,3,1.475,22.527,28.94,6,0,0,1.961,0,1,1,0,0,0,G1_P0457
2025-04-01 10:02:34,2025-04-01 10:09:46,100,431,True,2025-04-01 10:09:46,,EN,I consent to participate.,11.161,11.161,17.238,1,Chrome,134.0.0.0,Windows NT 10.0,1366x768,0,0,2.999,0,0,0,2.802,0,"Recycling,Composting",15.253,15.681,19.5,2,0,0,17.074,0,Probably real,No,"No, everything was in order and the image was new to me.",7.422,14.89,15.746,3,Probably real,No,"No, everything was in order and the image was new to me.",6.269,8.502,9.32,3,Probably real,Yes,"No, everything was in order and the image was new to me.",15.584,17.852,18.692,3,Probably real,No,"No, everything was in order and the image was new to me.",38.863,42.776,43.984,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",16.584,22.862,24.23,3,Definitely fake,Yes,"No, everything was in order and the image was new to me.",3.36,6.126,7.003,3,Probably fake,No,"No, everything was in order and the image was new to me.",27.642,32.886,34.687,3,Probably fake,No,"No, everything was in order and the image was new to me.",7.08,10.14,11.104,3,Definitely fake,No,"No, everything was in order and the image was new to me.",10.674,14.344,15.379,3,Probably fake,No,"No, everything was in order and the image was new to me.",13.798,16.82,18.173,3,Definitely fake,No,"No, everything was in order and the image was new to me.",4.208,8.863,9.789,4,Definitely fake,Yes,"No, everything was in order and the image was new to me.",10.829,14.141,15.573,4,Definitely fake,Yes,"No, everything was in order and the image was new to me.",1.977,11.615,12.645,3,Definitely fake,No,"No, everything was in order and the image was new to me.",20.61,23.168,24.479,3,Definitely fake,No,"No, everything was in order and the image was new to me.",2.581,5.801,6.81,3,100,7.893,9.284,10.013,2,6,6,6,6,6,2.988,15.99,17.757,6,I prefer audiobooks,10.061,10.061,15.636,1,No,No,2.791,5.528,9.422,2,0,0,20.789,0,0,0,2.37,0,0,1,0,0,0,G1_P0255
2025-04-01 10:04:07,2025-04-01 10:09:50,100,343,True,2025-04-01 10:09:50,,EN,I consent to participate.,17.482,17.999,18.6,2,Chrome,134.0.0.0,Windows NT 10.0,3440x1440,0,0,1.358,0,0,0,2.643,0,"Recycling,Composting",13.286,15.458,20.119,3,0,0,12.322,0,Definitely real,No,"No, everything was in order and the image was new to me.",3.907,5.769,6.675,3,Probably real,No,"No, everything was in order and the image was new to me.",8.942,10.888,12.038,3,Definitely real,No,"No, everything was in order and the image was new to me.",18.923,21.455,22.722,3,Definitely real,No,"No, everything was in order and the image was new to me.",4.151,5.857,7.546,3,Probably fake,No,"No, everything was in order and the image was new to me.",12.227,14.052,14.772,3,Definitely fake,No,"No, everything was in order and the image was new to me.",1.863,3.652,4.352,3,Probably real,Don't know,"No, everything was in order and the image was new to me.",23.636,26.582,27.435,4,Definitely fake,No,"No, everything was in order and the image was new to me.",4.671,6.546,7.293,3,Probably fake,No,"No, everything was in order and the image was new to me.",8.752,11.03,11.935,3,Definitely real,No,"No, everything was in order and the image was new to me.",3.738,5.752,6.488,3,Probably fake,No,"No, everything was in order and the image was new to me.",4.234,6.147,7.094,3,Probably real,No,"No, everything was in order and the image was new to me.",9.321,12.089,12.782,3,Definitely fake,Yes,"No, everything was in order and the image was new to me.",3.277,8.949,12.717,4,Definitely fake,No,"No, everything was in order and the image was new to me.",8.576,10.373,11.108,3,Definitely fake,No,"No, everything was in order and the image was new to me.",3.655,5.904,6.767,3,30,5.146,5.146,51.57,1,4,3,6,5,3,2.444,15.298,16.268,9,I prefer audiobooks,11.412,11.412,13.952,1,No,No,1.809,3.577,4.387,2,0,0,16.048,0,0,0,1.796,0,0,1,0,0,0,G1_P0233
2025-04-01 10:05:01,2025-04-01 10:09:57,100,295,True,2025-04-01 10:09:57,,EN,I consent to participate.,31.149,31.149,32.242,1,Chrome,134.0.0.0,Windows NT 10.0,1280x720,0,0,1.658,0,0,0,3.665,0,"Recycling,Composting",9.858,10.796,12.293,2,0,0,13.699,0,Definitely real,No,"No, everything was in order and the image was new to me.",5.207,7.961,9.051,3,Definitely real,No,"No, everything was in order and the image was new to me.",5.008,7.84,8.979,3,Definitely real,No,"No, everything was in order and the image was new to me.",9.457,12.041,12.903,3,Probably real,No,"No, everything was in order and the image was new to me.",8.207,13.087,14.69,3,Definitely real,No,"No, everything was in order and the image was new to me.",2.791,4.935,5.954,3,Probably fake,No,"No, everything was in order and the image was new to me.",3.028,5.796,6.608,3,Definitely fake,No,"No, everything was in order and the image was new to me.",3.068,5.396,6.835,3,Definitely real,No,"No, everything was in order and the image was new to me.",5.224,7.817,9.001,3,Definitely fake,No,"No, everything was in order and the image was new to me.",6.367,11.239,11.651,4,Probably real,No,"No, everything was in order and the image was new to me.",5.118,8.527,9.48,4,Probably fake,No,"No, everything was in order and the image was new to me.",3.56,6.649,7.499,3,Definitely fake,No,"No, everything was in order and the image was new to me.",4.001,6.825,7.75,3,Definitely fake,No,"No, everything was in order and the image was new to me.",2.808,5.648,6.757,3,Probably real,No,"No, everything was in order and the image was new to me.",4.508,7.22,8.4,3,Definitely fake,No,"No, everything was in order and the image was new to me.",3,5.536,6.539,3,100,2.685,2.685,4.671,1,6,6,6,6,6,2.705,11.181,11.903,5,I prefer audiobooks,6.968,6.968,10.819,1,No,No,4.373,6.446,7.527,2,0,0,19.28,0,0,0,2.491,0,0,1,0,0,0,G1_P0483
2025-04-01 10:04:40,2025-04-01 10:10:11,100,331,True,2025-04-01 10:10:12,,EN,I consent to participate.,7.195,7.195,8.159,1,Chrome,134.0.0.0,Windows NT 10.0,1536x864,0,0,1.318,0,0,0,1.314,0,"Recycling,Composting",9.521,10.11,11.519,2,0,0,8.549,0,Definitely real,Yes,"No, everything was in order and the image was new to me.",20.475,28.48,29.311,3,Probably real,No,"No, everything was in order and the image was new to me.",6.655,8.338,9.127,3,Definitely real,No,"No, everything was in order and the image was new to me.",13.013,15.526,16.41,3,Definitely real,No,"No, everything was in order and the image was new to me.",5.048,7.128,7.836,3,Definitely real,No,"No, everything was in order and the image was new to me.",3.337,5.474,6.162,3,Probably fake,No,"No, everything was in order and the image was new to me.",4.277,6.823,7.477,3,Definitely fake,No,"No, everything was in order and the image was new to me.",17.358,18.963,19.785,3,Probably real,No,"No, everything was in order and the image was new to me.",10.854,13.065,13.712,3,Definitely real,No,"No, everything was in order and the image was new to me.",3.427,5.601,6.457,3,Definitely real,No,"No, everything was in order and the image was new to me.",12.519,14.62,15.384,3,Definitely fake,No,"No, everything was in order and the image was new to me.",21.88,23.914,24.841,3,Probably fake,No,"No, everything was in order and the image was new to me.",16.996,19.044,19.76,3,Definitely fake,No,"No, everything was in order and the image was new to me.",6.364,8.82,9.586,3,Probably real,No,"No, everything was in order and the image was new to me.",9.633,11.588,12.691,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",10.122,12.155,12.918,3,80,6.368,6.368,7.085,1,3,3,5,4,2,3.903,18.539,19.278,6,I prefer audiobooks,5.451,5.451,8.669,1,No,No,2.151,4.001,5.197,2,0,0,35.92,0,0,0,1.693,0,0,1,0,0,0,G1_P0352
2025-04-01 10:05:50,2025-04-01 10:10:31,100,280,True,2025-04-01 10:10:32,,EN,I consent to participate.,2.623,19.874,20.6,6,Safari iPhone,18.3.1,iPhone,390x844,0,0,1.295,0,0,0,3.39,0,"Recycling,Composting",13.286,21.644,22.981,5,6.471,8.714,12.069,2,Probably real,No,"No, everything was in order and the image was new to me.",3.496,8.872,9.658,7,Probably real,No,"No, everything was in order and the image was new to me.",3.139,6.015,6.718,8,Probably real,No,"No, everything was in order and the image was new to me.",4.521,9.685,10.221,8,Probably real,No,"No, everything was in order and the image was new to me.",5.088,7.729,8.247,5,Probably real,No,"No, everything was in order and the image was new to me.",2.341,5.699,6.334,7,Definitely fake,No,"No, everything was in order and the image was new to me.",1.843,4.952,5.588,6,Probably fake,No,"No, everything was in order and the image was new to me.",8.442,12.621,13.293,7,Probably fake,No,"No, everything was in order and the image was new to me.",2.432,11.378,12.085,10,Definitely fake,No,"No, everything was in order and the image was new to me.",5.069,9.254,11.025,8,Probably real,No,"No, everything was in order and the image was new to me.",1.482,5.71,5.729,9,Probably real,No,"Yes, I experience an issue and could NOT see the image.,No, everything was in order and the image was new to me.",3.478,7.939,8.762,7,Probably fake,No,"No, everything was in order and the image was new to me.",2.738,9.055,9.561,12,Definitely fake,No,"No, everything was in order and the image was new to me.",3.029,6.907,7.828,7,Probably fake,No,"No, everything was in order and the image was new to me.",2.3,5.644,6.246,6,Probably fake,No,"No, everything was in order and the image was new to me.",2.533,19.725,20.301,8,82,2.634,3.201,4.421,2,4,4,5,3,2,2.576,16.792,17.591,16,I prefer audiobooks,7.326,12.173,13.092,3,No,No,3.537,5.441,6.297,3,3.312,19.84,21.327,5,0,0,4.141,0,1,1,0,0,0,G1_P0305
2025-04-01 10:03:45,2025-04-01 10:10:40,100,414,True,2025-04-01 10:10:40,,EN,I consent to participate.,3.576,3.576,5.406,1,Chrome,134.0.0.0,Windows NT 10.0,1920x1080,0,0,4.423,0,0,0,5.684,0,"Recycling,Composting",10.552,12.53,15.068,2,0,0,11.437,0,Probably real,No,"No, everything was in order and the image was new to me.",10.923,15.345,16.702,3,Definitely real,No,"No, everything was in order and the image was new to me.",7.538,13.194,14.626,3,Definitely real,No,"No, everything was in order and the image was new to me.",6.908,18.066,20.048,3,Definitely real,No,"No, everything was in order and the image was new to me.",9.675,14.919,16.931,3,Definitely real,No,"No, everything was in order and the image was new to me.",9.028,13.574,14.793,3,Probably fake,No,"No, everything was in order and the image was new to me.",8.233,13.529,14.928,4,Probably real,No,"No, everything was in order and the image was new to me.",16.709,21.811,25.294,4,Probably fake,No,"No, everything was in order and the image was new to me.",14.844,18.55,19.716,3,Definitely real,No,"No, everything was in order and the image was new to me.",6.325,12.421,14.292,3,Definitely real,No,"No, everything was in order and the image was new to me.",5.376,9.702,10.957,3,Probably fake,No,"No, everything was in order and the image was new to me.",18.72,23.374,24.646,3,Definitely real,No,"No, everything was in order and the image was new to me.",9.904,14.638,16,3,Definitely fake,No,"No, everything was in order and the image was new to me.",4.741,12.928,14.631,3,Definitely real,No,"No, everything was in order and the image was new to me.",4.819,9.545,11.184,3,Definitely fake,No,"No, everything was in order and the image was new to me.",13.482,18.071,19.301,3,65,15.935,15.935,17.317,1,4,4,5,3,2,3.955,26.073,27.262,6,I prefer audiobooks,9.899,9.899,12.98,1,No,No,3.666,5.424,7.431,2,0,0,25.952,0,0,0,3.89,0,0,1,0,0,0,G1_P0380
2025-04-01 10:03:05,2025-04-01 10:11:25,100,499,True,2025-04-01 10:11:25,,EN,I consent to participate.,28.974,28.974,30.719,1,Chrome,132.0.0.0,Windows NT 10.0,1280x720,0,0,1.584,0,0,0,9.243,0,"Recycling,Composting",32.393,34.865,45.267,2,0,0,25.058,0,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.184,9.484,11.631,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.853,7.618,9.173,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",5.961,25.783,31.152,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.429,6.844,8.591,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.414,8.941,10.465,4,Probably fake,Yes,"No, everything was in order and the image was new to me.",6.047,11.091,13.198,3,Probably fake,Yes,"No, everything was in order and the image was new to me.",5.329,9.521,10.701,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.499,13.294,15.376,4,Definitely real,Yes,"No, everything was in order and the image was new to me.",2.418,11.925,13.332,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",4.701,7.975,9.744,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",3.82,7.412,9.264,3,Probably fake,Yes,"No, everything was in order and the image was new to me.",6.925,16.749,18.572,3,Probably fake,Yes,"No, everything was in order and the image was new to me.",10.925,14.653,15.986,3,Definitely real,Yes,"No, everything was in order and the image was new to me.",2.301,5.747,7.154,3,Definitely fake,Yes,"No, everything was in order and the image was new to me.",5.668,15.037,16.528,3,92,8.52,8.52,10.269,1,5,5,5,4,4,7.223,43.223,45.842,6,I prefer audiobooks,21.905,21.905,31.499,1,No,No,13.797,34.085,35.531,4,0,0,19.902,0,0,0,3.076,0,0,1,0,0,0,G1_P0285
2025-04-01 10:03:37,2025-04-01 10:11:58,100,500,True,2025-04-01 10:11:58,,EN,I consent to participate.,3.455,3.455,4.845,1,Chrome,134.0.0.0,Windows NT 10.0,1366x768,0,0,6.941,0,0,0,8.151,0,"Recycling,Composting",56.609,57.781,62.817,2,0,0,11.312,0,Probably real,No,"No, everything was in order and the image was new to me.",4.535,7.511,9.568,3,Probably real,No,,3.079,8.273,9.735,2,Probably fake,No,"No, everything was in order and the image was new to me.",20.341,23.051,25.078,3,Probably real,No,"No, everything was in order and the image was new to me.",8.866,15.378,17.84,4,Probably real,No,,2.649,10.109,11.191,6,Definitely fake,No,"No, everything was in order and the image was new to me.",4.401,8.627,9.678,3,Definitely fake,No,"No, everything was in order and the image was new to me.",10.215,13.842,16.669,3,Definitely fake,No,"No, everything was in order and the image was new to me.",7.433,11.295,11.886,4,Definitely fake,No,"No, everything was in order and the image was new to me.",9.43,11.92,12.985,3,Definitely real,Yes,"Yes, I experience an issue and could NOT see the image.",4.299,10.811,12.132,3,Probably fake,No,"No, everything was in order and the image was new to me.",36.357,39.601,41.094,3,Probably real,Yes,"Yes, I have seen this image before.",3.441,7.824,9.275,3,Probably fake,No,,7.704,9.202,10.834,2,Definitely real,Yes,"Yes, I have seen this image before.",5.413,10.535,12.103,3,Definitely real,Yes,"Yes, I have seen this image before.",5.151,12.435,13.851,3,94,5.842,5.842,6.701,1,6,6,6,5,5,2.416,13.987,15.352,5,I prefer audiobooks,9.78,9.78,14.586,1,No,No,12.2,14.169,16.248,2,0,0,2.886,0,0,0,5.096,0,0,1,0,0,0,G1_P0265
